References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell
D1,1,"Diodes - General Purpose, Power, Switching IO=150mA VR=75V HIGH SPEED",Bourns,CD1206-S01575,,,,,,,,652CD1206S01575,1775431,,2368400
RTC,1,Real Time Clock 32.768 kHz +/-2 PPM I2C -40/+85C,Micro Crystal,RV-1805-C3-32.768kHz-2PPM-TA-QC,Micro Crystal,RV-1805-C3-32.768KHZ-2PPM-TA-QC,,,,,2195-RV-1805-C3-32.768KHZ-2PPM-TA-QCTR-ND,428202821MG01,,,
"RFA, RFB",2,"125KHZ-134KHZ, READ/WRITE ANALOG",EM Microelectronic,EM4095HMSO16B+,EM Microelectronic-Marin,EM4095HMSO16B,,,,,,,,,
SD,1,SD/MMC card socket,amphenol,101-00565-64,Amphenol ICC / FCI,101-00565-64,,DM1B-DSF-PEJ(82),,,H122400-CT-ND,,,,1764373
USB,1,USB Connectors USB 2.0 mini B jack 5 pin Horizontal SMT,CUI Inc.,UJ2-MBH-1-SMT-TR,CUI Devices,UJ2-MBH-1-SMT-TR,,,,,102-4003-6-ND,490UJ2MBH1SMT,,,
MEM,1,"NOR Flash 32M, 85MHz 2.3-3.6V DataFlash",Adesto Technologies,AT45DB321E-SHF-B,,,,,,,1265-1072-5-ND,988AT45DB321ESHFB,8228455,,2414318
"C11, CAGNDA, CAGNDB",3,1µF ±10% 25V Ceramic Capacitor X5R 0603 (1608 Metric),Samsung,1276-1102-1-ND,Samsung,CL10A105KB8NNNC,,,,,1276-1860-6-ND,,,,3013383
LED1,1,smt LED,Lite on,LTST-C171GKT,Lite-On,LTST-C171GKT,,,,,160-1423-6-ND,859LTSTC171GKT,6920935,,
BAT,1,Coin Cell Battery Holders 10MM SM COIN CELL CLIP,Keystone Electronics,3030,keystone,3030,Pomona Electronics,3030,Keystone,3030,36-3030-ND,5343030,,,2406283
"C10, C9",2,CAP CER 22PF 25V NPO 0603,Yageo,CC0603JRNPO8BN220,KEMET,C0603C220J5GACTU,Yageo,CC0603JRNPO9BN220,,,399-1053-1-ND,80C0603C220J5G,2644501,,722005
"CRES1A, CRES1B",2,CAP CER 1200PF 250V C0G/NP0 0603,KEMET,C0603C122JAGAC7867,,,,,,,399-14950-1-ND,,,,
"CDIV2A, CVID2B",2,CAP CER 1.5NF 250V C0G/NP0 0603,KEMET,C0603C152JAGAC7867,,,,,,,399-14955-1-ND,,,,
"C1, C2, C3, C5, C6, CBLKA, CDECA, CXA, CBLKB, CDECB, CXB",11,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 0.1uF 10volts X7R 5%,Kemet,C0603C104Z3VAC,KEMET,C0603C104Z3VAC,,,,,399-7844-6-ND,80C0603C104Z3VAC,8015340,,2409037
RESET,1,Tactile Switches TACTILE SWITCH 12VDC 2.54N,TE Connectivity,FSM1LPATR,TE Connectivity,1-1437565-8,,,,,450-1760-1-ND,506FSM1LPATR,1680656,,1570387
CREF,1,Tantalum Capacitors - Solid SMD 16V 4.7uF 20% 1206 ESR= 4 Ohms,AVX,TAJA475M016RNJ,AVX,TAJA475K016RNJ,,,,,478-3868-1-ND,581TAJA475K016R,4649132,,197269
"C7, C8, CDC2, CFCAPA,  CDCB, CFCAPB",6,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 0.01uF 25volts X7R 5%,Vishay,VJ0603Y103JXXPW1BC,Murata,GRM033C81E103KE14D,,,,,490-16999-1-ND,77VJ0603Y103JXXPBC,,,
"C3.3V, C5V",2,Multilayer Ceramic Capacitors MLCC - SMD/SMT 10uF 10V X5R 20% 0805,Murata,81-GRM21BC81C106KE5K,Murata,GRM21BR61C106KE15L,,,,,490-3886-1-ND,81GRM21BR61C106KE15,,,1762635
Y4,1,Crystals 32.768KHz 12.5pf 3.2 x 1.5 x 0.9mm,ABRACON,ABS07-32.768KHZ-T,Abracon,ABS07-32.768KHZ-T,,,,,535-9542-1-ND,815ABS0732.768KHZT,1712839,,1633668
R2,1,Thick Film Resistors - SMD 1/10watt 330ohms 1%,Vishay,CRCW0603330RFKEB,,,,,,,541-CRCW0603330RFKEBCT-ND,71CRCW0603330RFKEB,,,1871990
Main switch,1,slide switch,Nidec Copal Electronics,MFS201N-9-Z,Nidec Copal,MFS201N-9-Z,,,,,563-1565-ND,,,,2854847
"CDIV1A, CDIV1B",2,Multilayer Ceramic Capacitors MLCC - SMD/SMT 250volts 22pF 2%,Johanson,251R14S220GV4T,,,,,,,712-1331-1-ND,609251R14S220GV4T,,,1650756
"CE1, CE2, CE3",3,Aluminum Electrolytic Capacitors - Leaded WCAP-ATG5 10V 150uF 20% ESR=1197mOhms,Wurth Electronics,860020272007,Würth Elektronik,860020272007,,,,,732-8909-1-ND,710860020272007,8404778,,3131958
"RAA, RAB",2,Thick Film Resistors - SMD 22OHM 1/8WATT 1%,Bourns,CR0805-FX-22R0GLF,TE Connectivity,CRG0805F22R,Yageo,RC0805FR-0722RL,,,A126352CT-ND,603RC0805FR0722RL,2230203,,3399600
MCU,1,ARM Microcontrollers - MCU 256KB 32KB 48TQFP GRN1.6-3.6V48MHz,Microchip,ATSAMD21G18A-AUT,,,,,,,ATSAMD21G18A-AUTCT-ND,556ATSAMD21G18AAUT,,,2775015
"Z5, Z6",2,ESD Suppressors / TVS Diodes Chip Guard 0603 5 Volts,Bourns,CG0603MLC-05E,,,,,,,CG0603MLC-05EDKR-ND,652CG0603MLC05E,1814389,,1838966
VDIV1,1,Thick Film Resistors - SMD 499K ohm 1%,Bourns,CR0603-FX-4993ELF,,,,,,,CR0603-FX-4993ELFDKR-ND,652CR0603FX4993ELF,,,2908314
R1,1,Thick Film Resistors - SMD 0603 100 OHMS 5% 1/10WATT,Bourns,CR0603-JW-101ELF,,,,,,,CR0603-JW-101ELFCT-ND,652CR0603JW101ELF,7408886,,2333587
"JP_PWR, JPA, JPB",3,Fixed Terminal Blocks 2P SIDE ENTRY 2.54mm,On Shore Technology,OSTVN02A150,Phoenix Contact,1725656,,,,,ED10561-ND,6511725656,2204260,,3041359
VREG,1,"Switching Voltage Regulators 2MHZ,600MA STEP-DOWN DC-DC CONVERTER",Texas Instruments,LM3671MF-3.3/NOPB,,,,,,,LM3671MF-3.3/NOPBCT-ND,926LM3671MF3.3NOPB,7615876P,,3008192
"L6, L7",2,Ferrite Beads 30 ohms 25% HIGH CURRENT,Bourns,MH2029-300Y,,,,,,,MH2029-300YDKR-ND,652MH2029300Y,1814423,,2821493
T_SD,1,MOSFET MOSFET PFET SOT23 20V 52MO,ON Semiconductor,NTR3A052PZT1G,,,,,,,NTR3A052PZT1GOSDKR-ND,863NTR3A052PZT1G,,,2992336
"R3, R4, RP_INT, RP_SCL, RP_SDA",5,Thick Film Resistors - SMD 10K OHM 5%,Panasonic,ERJ-3GEYJ103V,Yageo,RC0603JR-0710KL,,,,,P10KGDKR-ND,603RC0603JR0710KL,,,9233504
Q1,1,MOSFET -20V Vds 8V Vgs SOT-23,Vishay,SI2323DDS-T1-GE3,,,,,,,SI2323DDS-T1-GE3DKR-ND,78SI2323DDST1GE3,8123110,,2646365
L1,1,Fixed Inductors 2.2uH 0.2 2.2A shdSMD 4018 AEC-Q200,Bourns,SRN4018TA-2R2M,,,,,,,SRN4018TA-2R2MDKR-ND,652SRN4018TA2R2M,,,2924989
VDIV2,1,Thick Film Resistors - SMD 1.8M OHM 1%,Yageo,RC0603FR-071M8L,,,,,,,YAG3328DKR-ND,603RC0603FR071M8L,,,9238875
